age,income,expenses,risk,timeline,goal,savings_rate,portfolio
61,101324,90160,4,27,0,0.1101812009000829,aggressive
47,117195,18462,2,12,1,0.8424676820683477,conservative
35,99116,107868,4,14,0,-0.08830057710157795,aggressive
37,149200,67303,1,27,0,0.5489075067024128,conservative
34,105258,148659,1,15,1,-0.41232970415550363,conservative
45,64349,110100,2,12,0,-0.7109822996472361,conservative
33,199648,19651,4,22,1,0.9015717663087033,aggressive
44,140522,75771,1,7,0,0.4607890579411053,conservative
34,53939,109941,3,10,0,-1.0382469085448376,balanced
50,46672,121702,4,28,1,-1.6076019883441892,aggressive
63,58443,121411,1,17,1,-1.077425867939702,conservative
21,158431,52751,4,23,1,0.6670411724978066,aggressive
28,121091,116338,2,28,1,0.03925147203342941,conservative
23,114513,99507,3,12,1,0.1310418904403867,balanced
28,62275,12448,3,21,1,0.8001124046567644,balanced
53,84369,37994,4,24,0,0.5496687171828515,aggressive
21,188990,54498,2,4,0,0.7116355362717605,conservative
43,122612,87431,1,1,0,0.28692950119074806,conservative
56,142346,81572,4,18,0,0.4269456113975805,aggressive
27,70981,68677,2,15,1,0.03245939054113073,conservative
56,196328,14343,1,3,0,0.926943686076362,conservative
40,42162,75982,2,18,1,-0.8021441108106826,conservative
41,186716,105002,2,23,0,0.4376379099809336,conservative
24,119212,112951,4,21,0,0.052519880548938025,aggressive
24,198801,133995,3,15,1,0.32598427573301947,balanced
21,161652,75448,2,5,0,0.5332689975997823,conservative
24,48744,53628,1,24,0,-0.10019694731659282,conservative
44,140237,95665,3,15,0,0.3178333820603692,balanced
50,94133,146633,4,22,1,-0.5577215216767765,aggressive
32,135015,68174,2,18,1,0.4950635114616894,conservative
31,77744,57528,1,24,1,0.2600329285861288,conservative
39,107985,70543,3,1,0,0.3467333425938788,balanced
41,40563,79770,2,12,0,-0.9665705199319578,conservative
44,156530,112701,3,1,0,0.2800038331310292,balanced
26,138545,29209,2,1,0,0.7891731928254357,conservative
54,185050,27717,3,1,1,0.8502188597676303,balanced
25,43736,52616,1,18,0,-0.2030364002194988,conservative
39,160566,73007,2,25,0,0.5453146992513982,conservative
25,170190,23890,3,20,0,0.8596274751748046,balanced
46,153891,108694,1,29,0,0.29369488794016546,conservative
63,35896,102592,1,14,1,-1.858034321372855,conservative
33,32104,21979,2,14,0,0.3153812609020683,conservative
55,74335,20009,2,16,1,0.7308266630793031,conservative
62,148871,112341,4,8,1,0.24538022851999383,aggressive
47,151676,13406,1,25,1,0.9116142303330784,conservative
25,64902,72826,2,4,1,-0.1220917691288404,conservative
57,134532,116090,2,20,1,0.13708262718163708,conservative
59,90902,57209,1,3,0,0.37065191084904625,conservative
64,76193,25769,4,1,1,0.6617930781042878,conservative
50,113365,105392,4,10,1,0.07033034887310899,aggressive
48,67837,46383,2,17,1,0.31625808924333326,conservative
54,193742,17989,3,23,0,0.9071497145688596,balanced
27,98099,52644,2,25,1,0.4633584440208361,conservative
57,194492,44544,1,16,0,0.7709725849906423,conservative
33,104148,112852,4,4,1,-0.08357337634904174,balanced
43,93759,85187,2,11,0,0.09142588978124766,conservative
57,31384,78162,3,24,0,-1.4905047157787408,conservative
36,169705,73648,2,10,0,0.5660233935358416,conservative
43,140281,20694,3,27,1,0.8524818043783549,balanced
57,161918,47813,3,4,0,0.7047085561827592,conservative
32,78882,89010,2,5,1,-0.12839431048908495,conservative
22,159031,52157,2,18,1,0.6720324968087983,conservative
46,81109,68721,4,2,0,0.1527327423590477,balanced
50,155565,81776,2,3,0,0.47432905859287117,conservative
49,87898,74533,4,10,1,0.15205124121140412,aggressive
53,79061,63491,2,5,1,0.19693654266958424,conservative
25,79507,99395,2,14,0,-0.2501414969751091,conservative
46,32867,81095,4,16,0,-1.467368485106642,aggressive
52,57457,65635,2,14,1,-0.14233252693318482,conservative
62,73365,125590,4,17,0,-0.7118517004020991,aggressive
26,49969,86011,3,27,0,-0.721287198062799,balanced
41,183944,21825,1,2,1,0.8813497586221893,conservative
59,43419,30000,4,6,1,0.3090582463898293,conservative
59,65552,44836,2,14,0,0.31602391994142054,conservative
25,119266,113249,3,1,1,0.05045025405396341,balanced
35,135577,147210,4,28,0,-0.08580363926034652,aggressive
25,123021,36853,2,1,0,0.7004332593622227,conservative
63,130085,130474,1,25,1,-0.002990352461851866,conservative
22,143359,139914,3,8,0,0.024030580570455987,balanced
39,35900,149680,3,22,0,-3.1693593314763233,balanced
39,124036,94116,4,10,0,0.24122029088329194,aggressive
34,190737,128264,2,20,0,0.32753477301205325,conservative
62,114378,97628,1,26,0,0.14644424627113606,conservative
51,179763,120131,4,12,0,0.3317256610092177,aggressive
41,88307,16550,3,28,0,0.8125856387375859,balanced
25,63726,131437,2,16,0,-1.0625333458870792,conservative
29,184449,23768,1,19,0,0.8711405320711958,conservative
30,35742,145394,4,17,0,-3.067875328744894,aggressive
37,147098,107889,4,18,0,0.2665501910291098,aggressive
40,150574,127461,3,5,1,0.15349927610344416,balanced
31,111670,82113,4,19,0,0.26468165129399124,aggressive
60,154712,64020,2,8,1,0.5861988727441957,conservative
28,59609,25603,1,10,1,0.5704843228371554,conservative
33,128336,12865,1,9,1,0.8997553297593817,conservative
42,129049,133141,4,27,0,-0.03170888577207107,aggressive
34,45504,95484,1,12,0,-1.0983649789029535,conservative
60,188577,19376,1,20,1,0.8972515205990126,conservative
36,167500,85355,3,23,0,0.4904179104477612,balanced
44,167459,15511,1,27,0,0.9073743423763428,conservative
29,110541,99318,4,10,0,0.10152793985941867,aggressive
61,183856,115207,2,11,1,0.37338460534331214,conservative
57,65288,90880,3,29,1,-0.39198627619164317,conservative
35,181378,23957,2,17,0,0.8679167263946014,conservative
53,191327,119110,3,26,1,0.37745326064800055,balanced
31,76379,87035,1,21,1,-0.13951478809620446,conservative
54,124177,94080,1,25,1,0.24237177577168076,conservative
23,159590,49319,3,28,0,0.690964346136976,balanced
